"merchant","correlation","rank","selected"
"merchant_Boroni_458",0.17321054503929,247,FALSE
"merchant_DECO_HOGAR_ON_11085",0.172955911663961,248,FALSE
"merchant_Georgina_Chavez_7662",0.172294310800637,249,FALSE
"merchant_Tisha_Shoes_5202",0.171575374994813,250,FALSE
"merchant_Playeras_by_Frijolitos_2987",0.170877643707771,251,FALSE
"merchant_Tienda_Blue_Demon_429",0.170877643707771,252,FALSE
"merchant_Zoy_4328",0.170497322946848,253,FALSE
"merchant_Game_Cool_118",0.169907615779396,254,FALSE
"merchant_Safemarket_5157",0.168673019170006,255,FALSE
"merchant_Havaianas_5708",0.168484499989211,256,FALSE
"merchant_Don_Colch_on_2377",0.168284477860529,257,FALSE
"merchant_Foly_Muebles_7506",0.167675194461064,258,FALSE
"merchant_Fuck_that_shit_11010",0.16736023114027,259,FALSE
"merchant_My_Oppo_29943",0.167318462354391,260,FALSE
"merchant_Per_Lui_7411",0.16699329102074,261,FALSE
"merchant_Go_Now_Optica_2028",0.166683789439499,262,FALSE
"merchant_La_casa_del_bacalao_7873",0.166469898508467,263,FALSE
"merchant_Lorenza_Jewelry_5674",0.166377549498414,264,FALSE
"merchant_BFS_Perfumes_3473",0.166262725359337,265,FALSE
"merchant_Ferrioni_10751",0.166221664584791,266,FALSE
"merchant_Apigreen_11147",0.165816979049681,267,FALSE
"merchant_Nostalgia_Lab_8249",0.165765003856644,268,FALSE
"merchant_Sundar_Store_827",0.163488770558628,269,FALSE
"merchant_8_Bit_Cyberpunk_9323",0.16336223237922,270,FALSE
"merchant_Mar_ia_Ferr_e_1051",0.163088628435738,271,FALSE
"merchant_Bomssa_2618",0.162734891918656,272,FALSE
"merchant_Wingstop_10910",0.162669816132484,273,FALSE
"merchant_BALA_DI_GALA_10091",0.162317335500921,274,FALSE
"merchant_Criteria_6468",0.162052931178531,275,FALSE
"merchant_Pitaya_Joyeria_7543",0.16200358899263,276,FALSE
"merchant_RENATTA_COSMETICS_6277",0.161927485649746,277,FALSE
"merchant_Britos_Jeans_3494",0.161049884026422,278,FALSE
"merchant_Bandai_Shop_5945",0.16072640305967,279,FALSE
"merchant_SNKRS_ANGELES_2043",0.160596705630028,280,FALSE
"merchant_Dark_Horse_Primal_8100",0.159682608490659,281,FALSE
"merchant_Koi_M_exico_9386",0.158102224551984,282,FALSE
